iter	RMSE
0	0.4240205844
1	0.4238956435
2	0.4237692874
3	0.423642717
4	0.4235166653
5	0.4233941536
6	0.4232683393
7	0.4231410378
8	0.423014579
9	0.4228809876
10	0.4227502044
11	0.4226254113
12	0.4225028898
13	0.4223779652
14	0.4222539619
15	0.4221557152
16	0.4220222956
17	0.4218982323
18	0.4217653289
19	0.4216414893
20	0.4215162428
21	0.4213827241
22	0.4212564432
23	0.4211321908
24	0.4210105229
25	0.4208865232
26	0.4207623447
27	0.4206364505
28	0.4205131652
29	0.420384617
30	0.420255442
31	0.4201268224
32	0.4199947619
33	0.4198691608
34	0.4197885868
35	0.4196644513
36	0.4195421057
37	0.4194189183
38	0.419295977
39	0.4191687108
40	0.4190430714
41	0.4189215218
42	0.4187893838
43	0.4186664106
44	0.4185445478
45	0.4184233661
46	0.4183015024
47	0.4181784417
48	0.4180527014
49	0.4179302164
50	0.4178021624
51	0.4176794689
52	0.4175570086
53	0.4174374229
54	0.4173065215
55	0.4171832033
56	0.4170621349
57	0.4169344341
58	0.4168128121
59	0.4166913443
60	0.4165633805
61	0.416436202
62	0.4163151639
63	0.4161874116
64	0.4160683772
65	0.415946959
66	0.4158265052
67	0.4157055393
68	0.4155864231
69	0.4154663633
70	0.4153458194
71	0.4152244614
72	0.4151065564
73	0.4149857404
74	0.4148646427
75	0.4147449764
76	0.4146253904
77	0.4145075789
78	0.4143873727
79	0.4142664883
80	0.4141361135
81	0.4140169953
82	0.413897168
83	0.4137794857
84	0.4136604814
85	0.4135411846
86	0.4134212178
87	0.4133024537
88	0.4131848938
89	0.413061042
90	0.4129328777
91	0.4128141744
92	0.4126949949
93	0.4125761093
94	0.4124578323
95	0.4123337889
96	0.412215517
97	0.4120975917
98	0.4119723284
99	0.4118555958
100	0.4117385396
101	0.4116205742
102	0.4115027242
103	0.411386345
104	0.41126792
105	0.4111500474
106	0.4110324265
107	0.4109149116
108	0.4108561658
109	0.4107404846
110	0.4106209296
111	0.4105028051
112	0.4103846578
113	0.4102663319
114	0.4101481507
115	0.410030365
116	0.4099119751
117	0.4097938082
118	0.4096768258
119	0.4095593274
120	0.4094423881
