iter	Passed	Remaining
0	61	7347
1	61	3688
2	62	2468
3	63	1863
4	64	1499
5	65	1256
6	66	1081
7	67	949
8	68	846
9	68	763
10	69	698
11	70	641
12	71	592
13	72	552
14	73	518
15	74	486
16	75	459
17	76	435
18	76	412
19	77	393
20	78	374
21	79	358
22	80	342
23	81	327
24	81	314
25	82	302
26	83	291
27	84	280
28	85	270
29	86	261
30	86	252
31	87	244
32	88	236
33	89	228
34	90	221
35	91	215
36	91	208
37	92	202
38	93	197
39	94	191
40	95	186
41	96	181
42	97	176
43	97	171
44	98	166
45	99	162
46	100	157
47	101	154
48	102	150
49	103	146
50	103	142
51	105	139
52	105	135
53	106	132
54	107	128
55	108	125
56	108	122
57	109	119
58	110	116
59	111	113
60	112	110
61	113	107
62	114	105
63	115	102
64	116	100
65	116	97
66	117	94
67	118	92
68	119	89
69	120	87
70	120	85
71	121	82
72	122	80
73	123	78
74	124	76
75	125	74
76	126	72
77	127	70
78	127	68
79	129	66
80	129	64
81	130	62
82	131	60
83	132	58
84	133	56
85	134	54
86	134	52
87	135	50
88	136	49
89	137	47
90	138	45
91	139	43
92	139	42
93	140	40
94	141	38
95	142	37
96	143	35
97	144	33
98	145	32
99	145	30
100	146	29
101	147	27
102	148	25
103	149	24
104	150	22
105	150	21
106	151	19
107	153	18
108	154	16
109	155	15
110	155	14
111	157	12
112	157	11
113	158	9
114	159	8
115	160	6
116	161	5
117	162	4
118	162	2
119	163	1
120	164	0
